Date,L-closing
03-03-15 16:00,41
04-03-15 16:00,40.66
05-03-15 16:00,40.69
06-03-15 16:00,40.48
09-03-15 16:00,40.62
10-03-15 16:00,39.45
11-03-15 16:00,39.69
12-03-15 16:00,40.48
13-03-15 16:00,39.93
16-03-15 16:00,40.43
17-03-15 16:00,40.55
18-03-15 16:00,41.03
19-03-15 16:00,40.85
20-03-15 16:00,41.05
23-03-15 16:00,41
24-03-15 16:00,40.61
25-03-15 16:00,40.26
26-03-15 16:00,40.4
27-03-15 16:00,40.19
30-03-15 16:00,40.76
31-03-15 16:00,40.83
01-04-15 16:00,40.43
02-04-15 16:00,41.15
06-04-15 16:00,41.53
07-04-15 16:00,41.34
08-04-15 16:00,41.52
09-04-15 16:00,41.44
10-04-15 16:00,41.17
13-04-15 16:00,41.51
14-04-15 16:00,41.65
15-04-15 16:00,42.4
16-04-15 16:00,42.24
17-04-15 16:00,41.84
20-04-15 16:00,41.9
21-04-15 16:00,41.21
22-04-15 16:00,41.36
23-04-15 16:00,41.65
24-04-15 16:00,41.62
27-04-15 16:00,41.43
28-04-15 16:00,41.96
29-04-15 16:00,41.89
30-04-15 16:00,41.64
01-05-15 16:00,41.73
04-05-15 16:00,41.67
05-05-15 16:00,41.27
06-05-15 16:00,41.09
07-05-15 16:00,41.22
08-05-15 16:00,41.42
11-05-15 16:00,41.15
12-05-15 16:00,40.95
13-05-15 16:00,40.57
14-05-15 16:00,40.9
15-05-15 16:00,40.64
18-05-15 16:00,41.05
19-05-15 16:00,41.1
20-05-15 16:00,41.17
21-05-15 16:00,41.05
22-05-15 16:00,40.7
26-05-15 16:00,40.05
27-05-15 16:00,40.23
28-05-15 16:00,40.33
29-05-15 16:00,40.12
01-06-15 16:00,40.01
02-06-15 16:00,40.43
03-06-15 16:00,40.73
04-06-15 16:00,40.14
05-06-15 16:00,40.13
08-06-15 16:00,39.72
09-06-15 16:00,39.66
10-06-15 16:00,40.59
11-06-15 16:00,40.47
12-06-15 16:00,40.01
15-06-15 16:00,39.51
16-06-15 16:00,39.54
17-06-15 16:00,39.47
18-06-15 16:00,39.65
19-06-15 16:00,39.27
22-06-15 16:00,39.61
23-06-15 16:00,39.57
24-06-15 16:00,39.14
25-06-15 16:00,38.76
26-06-15 16:00,38.97
29-06-15 16:00,38.18
30-06-15 16:00,38.51
01-07-15 16:00,38.85
02-07-15 16:00,38.69
06-07-15 16:00,38.6
07-07-15 16:00,38.86
08-07-15 16:00,38.21
09-07-15 16:00,38.4
10-07-15 16:00,38.83
13-07-15 16:00,39.17
14-07-15 16:00,38.95
15-07-15 16:00,38.88
16-07-15 16:00,38.97
17-07-15 16:00,38.57
20-07-15 16:00,38.42
21-07-15 16:00,38.35
22-07-15 16:00,38.11
23-07-15 16:00,37.79
24-07-15 16:00,37.82
27-07-15 16:00,37.76
28-07-15 16:00,38.15
29-07-15 16:00,38.3
30-07-15 16:00,38.31
31-07-15 16:00,38.11
03-08-15 16:00,37.09
04-08-15 16:00,37.51
05-08-15 16:00,37.7
06-08-15 16:00,37.97
07-08-15 16:00,37.94
10-08-15 16:00,39.05
11-08-15 16:00,39.03
12-08-15 16:00,38.8
13-08-15 16:00,38.81
14-08-15 16:00,38.99
17-08-15 16:00,38.82
18-08-15 16:00,38.77
19-08-15 16:00,38.45
20-08-15 16:00,37.79
21-08-15 16:00,37.08
24-08-15 16:00,36.11
25-08-15 16:00,35.36
26-08-15 16:00,35.79
27-08-15 16:00,36.52
28-08-15 16:00,36.53
31-08-15 16:00,36.45
01-09-15 16:00,35.72
02-09-15 16:00,36.06
03-09-15 16:00,36.48
04-09-15 16:00,36.09
08-09-15 16:00,36.61
09-09-15 16:00,36.09
10-09-15 16:00,36.24
11-09-15 16:00,36.31
14-09-15 16:00,36.1
15-09-15 16:00,36.37
16-09-15 16:00,36.56
17-09-15 16:00,36.27
18-09-15 16:00,35.81
21-09-15 16:00,36.23
22-09-15 16:00,35.88
23-09-15 16:00,35.69
24-09-15 16:00,35.72
25-09-15 16:00,35.97
28-09-15 16:00,35.4
29-09-15 16:00,35.65
30-09-15 16:00,36.14
01-10-15 16:00,35.37
02-10-15 16:00,35.55
05-10-15 16:00,36.64
06-10-15 16:00,36.74
07-10-15 16:00,36.55
08-10-15 16:00,36.78
09-10-15 16:00,36.29
12-10-15 16:00,36.33
13-10-15 16:00,36.03
14-10-15 16:00,35.64
15-10-15 16:00,36.01
16-10-15 16:00,36.18
19-10-15 16:00,36.11
20-10-15 16:00,36.43
21-10-15 16:00,36.25
22-10-15 16:00,36.59
23-10-15 16:00,36.7
26-10-15 16:00,36.62
27-10-15 16:00,36.12
28-10-15 16:00,36.85
29-10-15 16:00,36.8
30-10-15 16:00,36.46
02-11-15 16:00,37.58
03-11-15 16:00,37.27
04-11-15 16:00,37.02
05-11-15 16:00,37.24
06-11-15 16:00,37.8
09-11-15 16:00,37.63
10-11-15 16:00,37.83
11-11-15 16:00,37.53
12-11-15 16:00,37.03
13-11-15 16:00,36.96
16-11-15 16:00,37.57
17-11-15 16:00,37.49
18-11-15 16:00,37.97
19-11-15 16:00,37.86
20-11-15 16:00,37.91
23-11-15 16:00,37.76
24-11-15 16:00,37.86
25-11-15 16:00,37.77
27-11-15 16:00,37.72
