Date,shop - closing
21-05-15 16:00,25.68
22-05-15 16:00,28.31
26-05-15 16:00,29.65
27-05-15 16:00,27.5
28-05-15 16:00,27.45
29-05-15 16:00,27.2
01-06-15 16:00,27.33
02-06-15 16:00,26.95
03-06-15 16:00,27.44
04-06-15 16:00,26.78
05-06-15 16:00,27.39
08-06-15 16:00,26.98
09-06-15 16:00,28.34
10-06-15 16:00,28.1
11-06-15 16:00,30.73
12-06-15 16:00,33.63
15-06-15 16:00,35.5
16-06-15 16:00,38.11
17-06-15 16:00,38.63
18-06-15 16:00,35.55
19-06-15 16:00,35.52
22-06-15 16:00,36.94
23-06-15 16:00,35.43
24-06-15 16:00,35.96
25-06-15 16:00,34.84
26-06-15 16:00,33.52
29-06-15 16:00,31.32
30-06-15 16:00,33.95
01-07-15 16:00,31.11
02-07-15 16:00,31.31
06-07-15 16:00,30.53
07-07-15 16:00,30.76
08-07-15 16:00,29.19
09-07-15 16:00,29.06
10-07-15 16:00,29.6
13-07-15 16:00,30.42
14-07-15 16:00,30.86
15-07-15 16:00,29.34
16-07-15 16:00,29.39
17-07-15 16:00,32.27
20-07-15 16:00,33.75
21-07-15 16:00,33.22
22-07-15 16:00,32.14
23-07-15 16:00,33.11
24-07-15 16:00,33.57
27-07-15 16:00,32.87
28-07-15 16:00,34.06
29-07-15 16:00,34.16
30-07-15 16:00,38.13
31-07-15 16:00,37.39
03-08-15 16:00,40.36
04-08-15 16:00,38.41
05-08-15 16:00,38.45
06-08-15 16:00,36.28
07-08-15 16:00,35.16
10-08-15 16:00,33.47
11-08-15 16:00,35.14
12-08-15 16:00,34.73
13-08-15 16:00,35.31
14-08-15 16:00,34.56
17-08-15 16:00,34.41
18-08-15 16:00,32.6
19-08-15 16:00,31.1
20-08-15 16:00,29.22
21-08-15 16:00,27.77
24-08-15 16:00,26.28
25-08-15 16:00,26.93
26-08-15 16:00,28.22
27-08-15 16:00,28.51
28-08-15 16:00,28
31-08-15 16:00,27.54
01-09-15 16:00,26.6
02-09-15 16:00,26.7
03-09-15 16:00,27.15
04-09-15 16:00,26.81
08-09-15 16:00,27.14
09-09-15 16:00,26.01
10-09-15 16:00,25.77
11-09-15 16:00,26.36
14-09-15 16:00,27.21
15-09-15 16:00,28.11
16-09-15 16:00,28.91
17-09-15 16:00,35.55
18-09-15 16:00,35.66
21-09-15 16:00,34.83
22-09-15 16:00,33.66
23-09-15 16:00,33.5
24-09-15 16:00,33.47
25-09-15 16:00,33.91
28-09-15 16:00,33.05
29-09-15 16:00,33.64
30-09-15 16:00,35.2
01-10-15 16:00,35.07
02-10-15 16:00,35.81
05-10-15 16:00,36.76
06-10-15 16:00,36.21
07-10-15 16:00,37.33
08-10-15 16:00,38.24
09-10-15 16:00,37.02
12-10-15 16:00,34.31
13-10-15 16:00,33.12
14-10-15 16:00,33.64
15-10-15 16:00,34.14
16-10-15 16:00,34.33
19-10-15 16:00,33.36
20-10-15 16:00,31.5
21-10-15 16:00,31.95
22-10-15 16:00,32.01
23-10-15 16:00,31.66
26-10-15 16:00,31.07
27-10-15 16:00,31.04
28-10-15 16:00,31.12
29-10-15 16:00,31.59
30-10-15 16:00,32.22
02-11-15 16:00,30.96
03-11-15 16:00,31.44
04-11-15 16:00,31.75
05-11-15 16:00,31.62
06-11-15 16:00,31.54
09-11-15 16:00,30.23
10-11-15 16:00,28.59
11-11-15 16:00,28.18
12-11-15 16:00,28.86
13-11-15 16:00,28.33
16-11-15 16:00,27.35
17-11-15 16:00,26.39
18-11-15 16:00,28
19-11-15 16:00,29.45
20-11-15 16:00,28.23
23-11-15 16:00,28.87
24-11-15 16:00,26.95
25-11-15 16:00,26.44
27-11-15 16:00,26.71
30-11-15 16:00,26.34
01-12-15 16:00,26.28
02-12-15 16:00,26.41
03-12-15 16:00,26.83
04-12-15 16:00,27.12
07-12-15 16:00,26.88
08-12-15 16:00,26.48
09-12-15 16:00,24.81
10-12-15 16:00,24.96
11-12-15 16:00,24.76
14-12-15 16:00,24.56
15-12-15 16:00,25.36
16-12-15 16:00,26.21
17-12-15 16:00,26.53
18-12-15 16:00,25.31
21-12-15 16:00,24.45
22-12-15 16:00,24.66
23-12-15 16:00,24.92
24-12-15 16:00,25.34
28-12-15 16:00,24.84
29-12-15 16:00,25.18
30-12-15 16:00,25.98
